WKT,name,description
"LINESTRING (-97.1657463 34.6487635, -97.165672 34.648453, -97.1656156 34.6481904, -97.1655338 34.6477171, -97.1654949 34.6475615, -97.1654373 34.6473287, -97.1653474 34.6468289, -97.1652696 34.6463512, -97.1652281 34.6461394, -97.1651945 34.645922, -97.1651744 34.6458205, -97.1651167 34.6454531, -97.1650537 34.6452203, -97.1650175 34.6450361, -97.1649639 34.6447029, -97.1649075 34.6444612, -97.1648619 34.6442604, -97.1647721 34.6437893, -97.1647614 34.6437033, -97.1647305 34.6435124, -97.164701 34.6433844, -97.1646366 34.6430236, -97.1645776 34.6427147, -97.1645535 34.6425547, -97.1645186 34.6423671, -97.1644636 34.6421277, -97.1644254 34.6418353)",Line 40,
"LINESTRING (-97.1648619 34.6442604, -97.164385 34.6443181, -97.1638619 34.6443932, -97.1636474 34.6444395, -97.1630988 34.644519, -97.1625369 34.644594, -97.1621265 34.6446458, -97.1618986 34.6446767, -97.1613849 34.6447308, -97.1609424 34.6447992, -97.1604073 34.6448621, -97.1598949 34.6449327, -97.1593598 34.6450044, -97.1591734 34.6450232, -97.1586585 34.6450861, -97.15824 34.6451467, -97.1580811 34.6451645, -97.1575373 34.6452372, -97.1571403 34.645299, -97.1566951 34.645342, -97.1562311 34.6453928)",Line 41,
"LINESTRING (-97.1580811 34.6451645, -97.1579768 34.6445804, -97.1577407 34.6442152, -97.1575583 34.6442373, -97.1577407 34.6442163, -97.1576375 34.6436514, -97.1575476 34.6431858, -97.1574591 34.6427158, -97.1573438 34.6421012, -97.1572754 34.6417194, -97.1571972 34.6413235, -97.1571171 34.6409085, -97.1570286 34.6405554, -97.1569388 34.640007, -97.1568543 34.6395579, -97.1567671 34.639132, -97.1567067 34.6388143, -97.1566571 34.6385362, -97.1569039 34.6385009, -97.1571413 34.6384744, -97.1571104 34.6383111, -97.1570769 34.6381312, -97.1570219 34.6377395, -97.1569505 34.6373615)",Line 42,
"LINESTRING (-97.1571413 34.6384744, -97.1572062 34.6384668, -97.1572585 34.6384503, -97.1578606 34.6383598, -97.1572585 34.6384503, -97.1572089 34.6384679, -97.1572571 34.6387636, -97.1573068 34.639066, -97.1573966 34.6394996, -97.1574704 34.6398825, -97.1575428 34.640272, -97.1575736 34.64039, -97.1576125 34.6406272, -97.1576702 34.6409207, -97.1577158 34.6411414, -97.1577283 34.6412407)",Line 43,
"LINESTRING (-97.1580128 34.6426539, -97.1574591 34.6427158, -97.1572041 34.6427454, -97.1567468 34.6427951, -97.1563551 34.6428227, -97.1559676 34.642869, -97.1559461 34.6424078, -97.1559284 34.6419542)",Line 44,
"LINESTRING (-97.1568017 34.643141, -97.1567374 34.6427956)",Line 45,
"LINESTRING (-97.1592062 34.6450194, -97.1591083 34.644524, -97.1589983 34.644107, -97.1588763 34.6436954, -97.1588428 34.6433666)",Line 49,
"LINESTRING (-97.1612969 34.643134, -97.1614236 34.6437149, -97.1615537 34.6441011, -97.1616637 34.6446517, -97.1616932 34.6447002)",Line 50,
"LINESTRING (-97.1631168 34.6427953, -97.1627855 34.6428306, -97.1626005 34.6428527, -97.1622867 34.6428924, -97.1619728 34.6429321, -97.162288 34.6428935, -97.162528 34.6430292, -97.1620265 34.6431329, -97.1621311 34.6436978, -97.1621928 34.6439991, -97.1622732 34.6442804, -97.1621928 34.6440002, -97.1617314 34.6440597, -97.1615537 34.6441011)",Line 52,
"LINESTRING (-97.1630988 34.644519, -97.16314 34.6447093, -97.1632151 34.6450072, -97.1632727 34.6452996, -97.1637958 34.6452213, -97.1638454 34.6455137, -97.163891 34.6457487, -97.1639433 34.6459936)",Line 53,
